,,Week Starting Monday of Hub Date / Day of Hub Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-04-20,,,2026-04-13,,,,,,,2026-04-06,,,,,,,2026-03-30,,,,,,,2026-03-23,,,,,,Total
Hub Name,,2026-04-20,2026-04-21,2026-04-22,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,
ATL-13,Forecast,14439,15124,14620,13538,14101,13546,11391,11666,12227,13527,14893,15596,14859,12496,10987,11166,12763,14436,14651,13885,12128,11291,11844,14050,13894,13076,11676,12956,13870,13933,398629
,First Scanned to Hub,12014,13097,11758,10213,11819,11360,9960,12059,11252,10493,10012,11420,10982,8883,10170,10340,10175,12243,12839,8508,12448,10064,11758,8923,12088,11352,10850,10550,11746,10738,330114
,Parcel Rollover 5pm Cutoff,218,126,437,255,105,367,267,117,40,189,389,212,152,364,222,132,250,582,520,507,388,204,182,147,285,278,146,169,180,494,7924
,Parcel Rollover,645,705,885,629,612,874,812,715,722,712,733,608,699,697,636,670,651,1062,1593,2744,544,832,627,843,666,2739,792,745,1348,1122,27662
,Actual Net Forecast,-2425,-2027,-2862,-3325,-2282,-2186,-1431,393,-975,-3034,-4881,-4176,-3877,-3613,-817,-826,-2588,-2193,-1812,-5377,320,-1227,-86,-5127,-1806,-1724,-826,-2406,-2124,-3195,-68515
,Actual Relative Diff From Forecast,-0.167948,-0.134025,-0.195759,-0.245605,-0.161832,-0.161376,-0.125625,0.033688,-0.079742,-0.224292,-0.327738,-0.267761,-0.260919,-0.289133,-0.074361,-0.073975,-0.202774,-0.151912,-0.123678,-0.387252,0.026385,-0.108671,-0.007261,-0.364911,-0.129984,-0.131845,-0.070743,-0.185705,-0.153136,-0.229312,-0.171877
DTX-1,Forecast,16971,17800,16756,17635,18324,17372,15158,14518,15061,16960,18198,18934,17918,16269,15888,16386,18061,17230,17603,16647,16010,15407,16444,18236,16703,16843,17008,17910,18764,19060,512074
,First Scanned to Hub,5147,6328,5693,9053,6887,6304,5879,5805,3658,7222,5878,5591,6113,5994,5648,5216,2541,5435,6501,7132,6613,5935,4522,4672,6562,6646,7225,6030,5055,5927,177212
,Parcel Rollover 5pm Cutoff,39,18,2,50,20,21,23,20,27,33,78,31,27,16,32,35,45,53,221,25,19,13,22,28,60,51,31,24,32,78,1174
,Parcel Rollover,43,32,19,85,60,35,53,35,51,52,1026,38,40,34,49,57,57,59,1184,42,37,41,42,46,66,75,46,50,46,1071,4571
,Actual Net Forecast,-11824,-11472,-11063,-8582,-11437,-11068,-9279,-8713,-11403,-9738,-12320,-13343,-11805,-10275,-10240,-11170,-15520,-11795,-11102,-9515,-9397,-9472,-11922,-13564,-10141,-10197,-9783,-11880,-13709,-13133,-334862
,Actual Relative Diff From Forecast,-0.696718,-0.644494,-0.660241,-0.486646,-0.624154,-0.637117,-0.612152,-0.600152,-0.757121,-0.574175,-0.676997,-0.704711,-0.658835,-0.631569,-0.644512,-0.681679,-0.85931,-0.684562,-0.630688,-0.571574,-0.586946,-0.614785,-0.725006,-0.743803,-0.607136,-0.605415,-0.5752,-0.663317,-0.730601,-0.689035,-0.653933
EWR-2,Forecast,9730,10464,9817,12362,13127,12154,7050,6047,5757,7426,12933,13847,12749,8639,7580,7653,9892,11808,12731,11730,8304,7287,7207,10278,8982,8440,7860,7009,7226,9607,285696
,First Scanned to Hub,41586,43365,37228,31036,38085,31216,21840,26638,31169,23280,33482,32651,31718,29376,27490,28008,29062,35737,32265,37644,30199,30972,18987,27642,36359,29885,33194,33333,26882,26852,937181
,Parcel Rollover 5pm Cutoff,551,6730,4830,413,1129,1278,6065,1356,1496,1196,875,1120,2150,495,1814,314,389,2782,750,1714,3544,4196,769,556,6599,11528,7758,3981,3545,2358,82281
,Parcel Rollover,708,14183,9859,423,1468,2097,10545,3035,2570,2020,1035,1965,4328,790,2531,390,423,4219,1440,2881,6971,9209,1126,533,11066,24528,17144,6312,5156,3857,152812
,Actual Net Forecast,31856,32901,27411,18674,24958,19062,14790,20591,25412,15854,20549,18804,18969,20737,19910,20355,19170,23929,19534,25914,21895,23685,11780,17364,27377,21445,25334,26324,19656,17245,651485
,Actual Relative Diff From Forecast,3.273998,3.144209,2.792197,1.510597,1.901272,1.568373,2.097872,3.40516,4.414105,2.134931,1.588881,1.357984,1.487881,2.400394,2.626649,2.659741,1.93793,2.026507,1.534365,2.209207,2.636681,3.250309,1.634522,1.689434,3.047985,2.540877,3.223155,3.755743,2.720177,1.795045,2.280343
FPK-1,Forecast,28653,28350,26412,28716,28955,26744,22491,21528,22592,24718,29381,29608,27376,24238,22848,23619,28143,28776,27727,25351,23551,23422,22218,25472,26092,19229,22664,22587,23473,25907,760841
,First Scanned to Hub,25657,19930,0,24286,21800,19358,23134,21116,16963,21868,23460,22930,23937,20451,18985,21753,17952,21359,23797,20822,20219,19007,20780,20426,20799,24640,20342,19530,19886,20174,615361
,Parcel Rollover 5pm Cutoff,773,681,1307,916,1061,1002,921,1160,851,418,552,1094,1244,1268,950,399,615,653,434,1308,1116,821,1157,992,2814,3385,1203,1135,756,617,31603
,Parcel Rollover,3170,3807,4175,2632,3515,3334,2939,3552,2866,2579,2660,3459,3317,2909,2908,2369,2880,2852,3061,3125,2802,3258,2416,4049,5452,5093,3633,2828,2554,2621,96815
,Actual Net Forecast,-2996,-8420,-26412,-4430,-7155,-7386,643,-412,-5629,-2850,-5921,-6678,-3439,-3787,-3863,-1866,-10191,-7417,-3930,-4529,-3332,-4415,-1438,-5046,-5293,5411,-2322,-3057,-3587,-5733,-145480
,Actual Relative Diff From Forecast,-0.104561,-0.297002,-1.0,-0.154269,-0.247104,-0.276174,0.028589,-0.019138,-0.249159,-0.115301,-0.201525,-0.225547,-0.125621,-0.156242,-0.169074,-0.079004,-0.362115,-0.25775,-0.141739,-0.178652,-0.14148,-0.188498,-0.064722,-0.1981,-0.202859,0.281398,-0.102453,-0.135343,-0.152814,-0.221292,-0.191209
GCO-1,Forecast,3540,4150,3878,3648,4263,4019,3238,2676,2543,2629,5845,5483,5979,3544,2904,2707,2765,3593,3889,4008,3225,2738,4409,4574,4314,4441,3395,2872,2760,2659,110688
,First Scanned to Hub,16488,12439,16582,19260,14761,13730,13020,12288,12799,10023,14143,12066,9501,12306,10514,12223,9929,14961,16534,14197,10072,6370,10490,5832,16433,15287,9502,12759,11877,9418,375804
,Parcel Rollover 5pm Cutoff,89,131,88,76,130,93,86,78,63,126,105,158,158,82,352,64,101,56,95,379,71,105,86,127,92,89,63,79,100,92,3414
,Parcel Rollover,209,326,236,216,347,234,254,266,261,235,182,324,252,171,818,191,197,188,302,2765,240,214,180,259,290,282,224,172,232,199,10266
,Actual Net Forecast,12948,8289,12704,15612,10498,9711,9782,9612,10256,7394,8298,6583,3522,8762,7610,9516,7164,11368,12645,10189,6847,3632,6081,1258,12119,10846,6107,9887,9117,6759,265116
,Actual Relative Diff From Forecast,3.657627,1.997349,3.275915,4.279605,2.462585,2.416273,3.021001,3.591928,4.033032,2.812476,1.419675,1.20062,0.589062,2.472348,2.620523,3.515331,2.590958,3.16393,3.251479,2.542166,2.123101,1.326516,1.379224,0.275033,2.809226,2.442243,1.798822,3.442549,3.303261,2.541933,2.395165
LAX-11,Forecast,7456,8554,6955,7928,8752,7266,7696,7023,6906,6343,8096,9014,7402,8801,7845,7701,7028,9445,8651,6733,8852,7810,7194,6819,7925,5737,7770,7707,8177,8770,232356
,First Scanned to Hub,12245,12902,9590,11902,12353,8554,15582,10828,9465,9211,11167,9592,6481,9854,11614,9194,9856,12248,10706,8527,8016,9122,7888,6811,15320,13463,9868,11277,10398,9172,313206
,Parcel Rollover 5pm Cutoff,47,35,44,38,53,37,37,73,44,47,109,116,24,22,14,25,30,66,178,181,183,79,77,114,106,116,96,96,74,74,2235
,Parcel Rollover,57,79,1591,57,55,634,46,2160,58,61,109,125,29,48,34,1450,45,149,228,192,187,86,150,112,119,1221,174,104,85,90,9535
,Actual Net Forecast,4789,4348,2635,3974,3601,1288,7886,3805,2559,2868,3071,578,-921,1053,3769,1493,2828,2803,2055,1794,-836,1312,694,-8,7395,7726,2098,3570,2221,402,80850
,Actual Relative Diff From Forecast,0.642302,0.5083,0.378864,0.501261,0.411449,0.177264,1.024688,0.541791,0.370547,0.452152,0.379323,0.064122,-0.124426,0.119645,0.480433,0.193871,0.40239,0.296771,0.237545,0.266449,-0.094442,0.16799,0.096469,-0.001173,0.933123,1.346697,0.270013,0.463215,0.271616,0.045838,0.347957
LAX-12,Forecast,4008,5255,4602,3739,4877,4327,4741,4145,4085,3319,3786,4887,4376,4539,3977,3889,4107,3768,4877,4391,4434,3924,3616,3098,4753,3325,4470,3904,3865,3322,124406
,First Scanned to Hub,3111,3086,5442,3588,3903,3110,3302,4533,2646,2976,4577,3931,3993,4339,3827,3800,2719,3690,5558,3309,4393,3561,4309,1473,5310,2919,3639,3968,3797,3347,112156
,Parcel Rollover 5pm Cutoff,62,24,58,146,209,151,237,268,261,113,28,202,255,173,264,396,114,96,105,148,200,111,334,117,10,186,26,71,193,232,4790
,Parcel Rollover,676,453,461,481,628,974,540,586,725,346,223,968,1245,935,904,1024,597,482,1052,820,897,693,1192,763,762,1021,525,632,553,655,21813
,Actual Net Forecast,-897,-2169,840,-151,-974,-1217,-1439,388,-1439,-343,791,-956,-383,-200,-150,-89,-1388,-78,681,-1082,-41,-363,693,-1625,557,-406,-831,64,-68,25,-12250
,Actual Relative Diff From Forecast,-0.223802,-0.41275,0.182529,-0.040385,-0.199713,-0.281257,-0.303522,0.093607,-0.352264,-0.103344,0.208928,-0.195621,-0.087523,-0.044063,-0.037717,-0.022885,-0.33796,-0.020701,0.139635,-0.246413,-0.009247,-0.092508,0.191648,-0.524532,0.117189,-0.122105,-0.185906,0.016393,-0.017594,0.007526,-0.098468
MNY-1,Forecast,26698,29891,27207,25208,28130,25882,24716,23204,22617,26731,27866,31297,27907,25849,23501,22793,23940,24910,27290,24384,25384,24956,23617,25299,27741,26000,24986,23433,23514,23813,768764
,First Scanned to Hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parcel Rollover 5pm Cutoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parcel Rollover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Actual Net Forecast,-26698,-29891,-27207,-25208,-28130,-25882,-24716,-23204,-22617,-26731,-27866,-31297,-27907,-25849,-23501,-22793,-23940,-24910,-27290,-24384,-25384,-24956,-23617,-25299,-27741,-26000,-24986,-23433,-23514,-23813,-768764
