,Actual Relative Diff From Forecast,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NYC-1,Forecast,2094,2001,1925,1864,1784,1723,1612,1541,1639,1935,1776,1697,1654,1533,1429,1481,1752,1620,1544,1504,1417,1283,1344,1665,1502,1468,1333,1273,1317,1568,48278
,First Scanned to Hub,1262,1573,873,2036,1288,997,1380,1275,1594,1193,1750,1638,1254,942,1743,1375,1051,1706,1486,1114,1148,1159,1160,180,1096,1402,1186,1525,1216,955,38557
,Parcel Rollover 5pm Cutoff,1,0,0,3,4,5,1,0,0,0,101,0,0,0,0,0,4,0,0,0,0,1,1,1,0,8,8,1,1,0,140
,Parcel Rollover,293,16,24,231,31,27,19,14,27,27,138,41,31,21,10,30,21,238,385,317,269,257,277,309,376,247,318,268,321,275,4858
,Actual Net Forecast,-832,-428,-1052,172,-496,-726,-232,-266,-45,-742,-26,-59,-400,-591,314,-106,-701,86,-58,-390,-269,-124,-184,-1485,-406,-66,-147,252,-101,-613,-9721
,Actual Relative Diff From Forecast,-0.397326,-0.213893,-0.546494,0.092275,-0.278027,-0.421358,-0.143921,-0.172615,-0.027456,-0.383463,-0.01464,-0.034767,-0.241838,-0.385519,0.219734,-0.071573,-0.400114,0.053086,-0.037565,-0.259309,-0.189838,-0.096648,-0.136905,-0.891892,-0.270306,-0.044959,-0.110278,0.197958,-0.076689,-0.390944,-0.201355
Total,Forecast,113589,121589,112172,114638,122313,113033,98093,92348,93427,103588,122774,130363,120220,105908,96959,97395,108451,115586,118963,108633,103305,98118,97893,109491,111906,98559,101162,99651,102966,108639,3241732
,First Scanned to Hub,117510,112720,87166,111374,110896,94629,94097,94542,89546,86266,104469,99819,93979,92146,89991,91909,83285,107379,109686,101253,93108,86190,79894,75959,113967,105594,95806,98972,90857,86583,2899591
,Parcel Rollover 5pm Cutoff,1780,7745,6766,1897,2711,2954,7637,3072,2782,2122,2237,2933,4010,2420,3648,1365,1548,4288,2303,4262,5521,5530,2628,2082,9966,15641,9331,5556,4881,3945,133561
,Parcel Rollover,5801,19601,17250,4754,6716,8209,15208,10363,7280,6032,6106,7528,9941,5605,7890,6181,4871,9249,9245,12886,11947,14590,6010,6914,18797,35206,22856,11111,10295,9890,328332
,Actual Net Forecast,3921,-8869,-25006,-3264,-11417,-18404,-3996,2194,-3881,-17322,-18305,-30544,-26241,-13762,-6968,-5486,-25166,-8207,-9277,-7380,-10197,-11928,-17999,-33532,2061,7035,-5356,-679,-12109,-22056,-342141
,Actual Relative Diff From Forecast,0.034519,-0.072942,-0.222926,-0.028472,-0.093342,-0.16282,-0.040737,0.023758,-0.04154,-0.16722,-0.149095,-0.2343,-0.218275,-0.129943,-0.071865,-0.056327,-0.232049,-0.071003,-0.077982,-0.067935,-0.098708,-0.121568,-0.183864,-0.306253,0.018417,0.071379,-0.052945,-0.006814,-0.117602,-0.203021,-0.105543
