,,Week Starting Monday of Hub Date / Day of Hub Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-04-20,,,,2026-04-13,,,,,,,2026-04-06,,,,,,,2026-03-30,,,,,,,2026-03-23,,,,,Total
Hub Name,,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,
ATL-13,Forecast,14439,15124,14620,11026,13538,14101,13546,11391,11666,12227,13527,14893,15596,14859,12496,10987,11166,12763,14436,14651,13885,12128,11291,11844,14050,13076,11676,12956,13870,13933,395761
